graphid,repeatid,vertices, edges, ticks, min-degree, d-bound, nodes-deleted
167,3,100,2,1,1,100,0
167,4,100,2,1,1,100,0
168,0,100,2,6,1,100,0
168,1,100,2,1,1,100,0
168,2,100,2,1,1,100,0
168,3,100,2,1,1,100,0
168,4,100,2,2,1,100,0
169,0,100,2,8,1,100,0
169,1,100,2,4,1,100,0
169,2,100,2,1,1,100,0
169,3,100,2,1,1,100,0
169,4,100,2,1,1,100,0
170,0,100,2,7,1,100,0
170,1,100,2,3,1,100,0
170,2,100,2,5,1,100,0
170,3,100,2,1,1,100,0
170,4,100,2,1,1,100,0
171,0,100,2,7,1,100,0
171,1,100,2,1,1,100,0
171,2,100,2,5,1,100,0
171,3,100,2,2,1,100,0
171,4,100,2,1,1,100,0
